pass,sub_step,R_SA,R_SB,R_SC,R_SuA,R_SuB,R_SuC,N_SA,N_SB,N_SC,N_SuA,N_SuB,N_SuC,cost
1,Jacobian_Base,1629368.0,1629368.0,1629368.0,2092593.0,2092593.0,2092593.0,4112.8124311935035,4003.5044235995438,2391.440642480571,1662.7461965022485,1506.1642261300954,929.2841113772583,3371847.3878222387
1,Jacobian_Pert_Dim_0,1659368.0,1629368.0,1629368.0,2092593.0,2092593.0,2092593.0,4170.346745311694,3920.687004202922,2416.4664589363,1689.5311257060814,1518.0458964228983,918.2729983608706,3424921.223519411
1,Jacobian_Pert_Dim_1,1629368.0,1659368.0,1629368.0,2092593.0,2092593.0,2092593.0,3907.3436278851354,3932.629466663995,2421.289084620837,1691.003358389383,1533.3893186859657,922.5642458597481,2963177.4403390274
1,Jacobian_Pert_Dim_2,1629368.0,1629368.0,1659368.0,2092593.0,2092593.0,2092593.0,3680.597525965837,3551.7530210463183,2335.260515993999,1670.783837011358,1517.0005818789969,914.2609348779881,1932529.3055989551
1,Jacobian_Pert_Dim_3,1629368.0,1629368.0,1629368.0,2122593.0,2092593.0,2092593.0,4058.673920829977,3947.5379779904742,2391.300145788338,1716.653198929014,1506.7102221606253,923.8681998253231,3222825.1020898526
1,Jacobian_Pert_Dim_4,1629368.0,1629368.0,1629368.0,2092593.0,2122593.0,2092593.0,4017.027416216018,3906.5842618553957,2398.3176526961333,1666.4049857468535,1547.150358960302,919.4491694521787,3055269.7439254276
1,Jacobian_Pert_Dim_5,1629368.0,1629368.0,1629368.0,2092593.0,2092593.0,2122593.0,3764.3814490302298,3645.6516805640713,2286.9863416357,1656.1837638470422,1516.5374573633037,949.0402827395701,2076063.8132515945
1,Update_Result,683793.8526270199,733732.3903057545,2283685.700148243,2504619.8540895022,2608179.7951592724,1536984.3089471008,328.00914885728974,327.6869139911158,4349.012496954861,2291.4829404432817,2245.9809847597307,440.53542339873144,25807129.585533075
2,Jacobian_Base,683793.8526270199,733732.3903057545,2283685.700148243,2504619.8540895022,2608179.7951592724,1536984.3089471008,328.0091513999496,327.68691650226936,4348.995776498627,2291.475966428878,2245.8594341669063,440.5298791371914,25806735.005196553
2,Jacobian_Pert_Dim_0,713793.8526270199,733732.3903057545,2283685.700148243,2504619.8540895022,2608179.7951592724,1536984.3089471008,328.0091494654335,327.68691441341593,4352.982625915708,2302.7012572507,2255.480674653732,440.24423355116346,25879289.246479485
2,Jacobian_Pert_Dim_1,683793.8526270199,763732.3903057545,2283685.700148243,2504619.8540895022,2608179.7951592724,1536984.3089471008,328.0091530440049,327.6869182164918,4256.276389284782,2287.0595910083834,2230.8080181086943,440.62945916975116,25248114.055897757
2,Jacobian_Pert_Dim_2,683793.8526270199,733732.3903057545,2313685.700148243,2504619.8540895022,2608179.7951592724,1536984.3089471008,328.00914804931443,327.6869130753057,4453.483831466658,2285.6711678172846,2241.060468885222,440.0073959852048,26380093.05264468
2,Jacobian_Pert_Dim_3,683793.8526270199,733732.3903057545,2283685.700148243,2534619.8540895022,2608179.7951592724,1536984.3089471008,328.00913114830604,327.686895856346,4336.419608926119,2364.95489450966,2252.002454034303,442.22622076671126,25934423.351441894
2,Jacobian_Pert_Dim_4,683793.8526270199,733732.3903057545,2283685.700148243,2504619.8540895022,2638179.7951592724,1536984.3089471008,328.0091339990357,327.6868986216295,4380.287975746779,2322.40825717253,2302.907381737056,441.34724311060876,26196597.832878824
2,Jacobian_Pert_Dim_5,683793.8526270199,733732.3903057545,2283685.700148243,2504619.8540895022,2608179.7951592724,1566984.3089471008,328.00914175100394,327.6869067495674,4381.002352906651,2318.2441085398614,2257.00365091771,470.35280298802957,26074783.627725884
