Starting_Altitude_km,Natural_Lifetime_years,Compliant_25yr_DeltaV_ms,Direct_Reentry_DeltaV_ms,DeltaV_Difference_ms,Compliance_Status
600,16063580271.627403,0.0,304.84140652450515,304.84140652450515,Compliant
650,5740686434581.629,0.0,331.7799144127948,331.7799144127948,Compliant
700,2051617129814383.2,0.0,358.42592097884517,358.42592097884517,Compliant
750,7.332290536332754e+17,0.0,384.78411941638933,384.78411941638933,Compliant
800,2.6205576594222606e+20,0.0,410.85910016007256,410.85910016007256,Compliant
850,9.366090104863102e+22,0.0,436.6553537813006,436.6553537813006,Compliant
900,3.347598423462848e+25,0.0,462.177273783489,462.177273783489,Compliant
950,1.1965163748854534e+28,0.0,487.4291593008711,487.4291593008711,Compliant
1000,4.276752001493007e+30,0.0,512.4152177048036,512.4152177048036,Compliant
1050,1.5286901951378724e+33,0.0,537.1395671214113,537.1395671214113,Compliant
1100,5.464302714340527e+35,0.0,561.606238864103,561.606238864103,Compliant
1150,1.9532586103509484e+38,0.0,585.8191797844429,585.8191797844429,Compliant
1200,6.98223306982013e+40,0.0,609.7822545446106,609.7822545446106,Compliant
1250,2.495964516013584e+43,0.0,633.4992478145869,633.4992478145869,Compliant
1300,8.922608121056591e+45,0.0,656.9738663970211,656.9738663970211,Compliant
1350,3.18973392467997e+48,0.0,680.2097412826488,680.2097412826488,Compliant
1400,1.1403185838368682e+51,0.0,703.2104296389252,703.2104296389252,Compliant
1450,4.076682946183135e+53,0.0,725.9794167344862,725.9794167344862,Compliant
1500,1.457459670869065e+56,0.0,748.5201178018988,748.5201178018988,Compliant
